Raz. social del proveedor IVA,,CUIT,Fecha Cpa.,Comp.T,No comprobante Neto Gravado,Ex/Int/Ot(+/-)Cpas RS/Rni,IVA,Acrec.,Percepción,Retención,Total
BANCO  MACRO  S.A RI,,30-50001008-4,04/01/2016,FAC  A,0001-00040116 2494.33,0.00 0.00,523.81,0.00,0.00,0.00,3018.14
SERVICIOS RI,,30-71048925-0,05/01/2016,FAC  A,0004-00002243 1599.36,0.00 0.00,335.87,0.00,0.00,0.00,1935.23
YPF Estacion de Servicio RI,,30-64965732-3,05/01/2016,FAC  A,0008-00171351 454.56,0.00 0.00,95.46,0.00,0.00,0.00,550.02
SERVICOMPRA RI,,30-68393993-1,05/01/2016,FAC  A,0015-00264468 273.37,69.23 0.00,57.41,0.00,0.00,0.00,400.01
PUNTA ALTA GRAN RI,,30-70727686-6,06/01/2016,FAC  A,0004-00004199 100.00,0.00 0.00,21.00,0.00,0.00,0.00,121.00
RUTA 22 S.A. RI,,30-59863915-5,06/01/2016,FAC  A,0014-00137530 196.93,26.18 0.00,41.36,0.00,0.00,0.00,264.47
RUTA 22 S.A. RI,,30-59863915-5,06/01/2016,FAC  A,0016-00053669 394.66,52.47 0.00,82.88,0.00,0.00,0.00,530.01
ARENERA  Y RI,,30-68913140-5,07/01/2016,FAC  A,0003-00002157 4344.74,0.00 0.00,912.40,0.00,0.00,0.00,5257.14
VIA  CARGAS Y RI,,30-64392215-7,07/01/2016,FAC  A,0070-00018862 210.74,0.00 0.00,44.26,0.00,0.00,0.00,255.00
PANADERIA SAN RI,,20-24180955-3,07/01/2016,FAC  A,0003-00031634 57.85,0.00 0.00,12.15,0.00,0.00,0.00,70.00
SECORVEP S.A. RI,,30-66204596-5,07/01/2016,FAC  A,0006-00145172 673.50,105.06 0.00,141.44,0.00,11.67,0.00,931.67
RESTAURANT  LAS RI,,30-71037022-9,07/01/2016,FAC  A,0002-00005784 148.77,0.01 0.00,31.24,0.00,0.00,0.00,180.02
CRUZ  DEL SUR  S.A RI,,30-55656579-8,08/01/2016,FAC  A,0142-00053825 403.87,0.00 0.00,84.81,0.00,0.00,0.00,488.68
YPF Estacion de Servicio RI,,30-64965732-3,09/01/2016,FAC  A,0008-00171807 206.61,0.00 0.00,43.39,0.00,0.00,0.00,250.00
SERVICOMPRA RI,,30-68393993-1,09/01/2016,FAC  A,0015-00265184 207.62,48.75 0.00,43.60,0.00,0.00,0.00,299.97
SERVICIOS S.R.L RI,,30-67164273-9,09/01/2016,FAC  A,0161-00122538 144.43,25.32 0.00,30.33,0.00,0.00,0.00,200.08
TODO CAMPO S.R.L RI,,30-66876430-0,09/01/2016,FAC  A,0020-00054297 193.87,50.43 0.00,40.71,0.00,0.00,0.00,285.01
RUTA 22 S.A. RI,,30-59863915-5,11/01/2016,FAC  A,0014-00138263 372.58,49.54 0.00,78.24,0.00,0.00,0.00,500.36
DISTRIBUIDORA LEO RI,,30-69788550-8,12/01/2016,FAC  A,0006-00008862 6458.68,0.00 0.00,1356.32,0.00,0.00,0.00,7815.00
DISTRIBUIDORA LEO RI,,30-69788550-8,12/01/2016,FAC  A,0006-00008865 229.92,0.00 0.00,48.28,0.00,0.00,0.00,278.20
RUTA 22 S.A. RI,,30-59863915-5,12/01/2016,FAC  A,0014-00138568 111.69,14.85 0.00,23.45,0.00,0.00,0.00,149.99
MADERERA  ARROYO RI,,30-67302251-7,12/01/2016,FAC  A,0003-00001236 165.30,0.00 0.00,34.71,0.00,0.00,0.00,200.01
RICOH S.A. RI,,30-50423158-1,13/01/2016,FAC  A,0054-00039957 1648.53,0.00 0.00,346.19,0.00,49.46,0.00,2044.18
RICOH S.A. RI,,30-50423158-1,13/01/2016,FAC  A,0054-00039958 320.82,0.00 0.00,67.37,0.00,0.00,0.00,388.19
RICOH S.A. RI,,30-50423158-1,13/01/2016,FAC  A,0054-00039959 32422.10,0.00 0.00,6808.64,0.00,972.66,0.00,40203.40
RICOH S.A. RI,,30-50423158-1,13/01/2016,FAC  A,0054-00039932 4232.65,0.00 0.00,888.86,0.00,126.98,0.00,5248.49
RICOH S.A. RI,,30-50423158-1,13/01/2016,FAC  A,0054-00039931 2667.40,0.00 0.00,560.15,0.00,80.02,0.00,3307.57
RICOH S.A. RI,,30-50423158-1,13/01/2016,FAC  A,0054-00039929 5563.98,0.00 0.00,1168.44,0.00,166.92,0.00,6899.34
ARRAYANES  OCHO RI,,30-71189269-5,13/01/2016,FAC  A,0004-00008444 317.62,55.69 0.00,66.70,0.00,7.47,0.00,447.48
RUTA 22 S.A. RI,,30-59863915-5,14/01/2016,FAC  A,0014-00138919 148.93,19.80 0.00,31.28,0.00,0.00,0.00,200.01
RICOH S.A. RI,,30-50423158-1,15/01/2016,FAC  A,0054-00040144 3394.74,0.00 0.00,712.90,0.00,101.84,0.00,4209.48
RICOH S.A. RI,,30-50423158-1,15/01/2016,FAC  A,0054-00040107 12131.37,0.00 0.00,2547.59,0.00,363.94,0.00,15042.90
RICOH S.A. RI,,30-50423158-1,15/01/2016,FAC  A,0054-00040108 6226.79,0.00 0.00,1307.63,0.00,186.80,0.00,7721.22
CALF  COOPERATIVA RI,,30-54572139-9,15/01/2016,FAC  A,0021-00098870 1383.11,352.89 0.00,373.44,0.00,55.33,0.00,2164.77
S.A INPORTADORA Y RI,,30-50673003-8,15/01/2016,FAC  A,2875-00008301 964.35,0.00 0.00,185.00,0.00,45.72,0.00,1195.07
MAS PILAS RI,,20-18396752-6,15/01/2016,FAC  A,0005-00006911 77.69,0.00 0.00,16.31,0.00,0.00,0.00,94.00
ARRAYANES  OCHO RI,,30-71189269-5,15/01/2016,FAC  A,0007-00018188 635.27,111.35 0.00,133.41,0.00,14.93,0.00,894.96
HERRAJES  CAROLINA RI,,27-34866067-0,18/01/2016,FAC  A,0001-00000859 49.59,0.00 0.00,10.41,0.00,0.00,0.00,60.00
RICOH S.A.,RI,30-50423158-1,19/01/2016,FAC  A,0054-00040642 791.86,0.00 0.00,166.29,0.00,23.76,0.00,981.91
RICOH S.A.,RI,30-50423158-1,19/01/2016,FAC  A,0054-00040504 3664.34,0.00 0.00,424.79,0.00,0.00,0.00,4089.13
RICOH S.A.,RI,30-50423158-1,19/01/2016,FAC  A,0054-00040442 145.66,0.00 0.00,30.59,0.00,0.00,0.00,176.25
RICOH S.A.,RI,30-50423158-1,19/01/2016,FAC  A,0054-00040329 6632.20,0.00 0.00,1392.76,0.00,198.97,0.00,8223.93
RICOH S.A.,RI,30-50423158-1,19/01/2016,FAC  A,0054-00040439 171.67,0.00 0.00,36.05,0.00,0.00,0.00,207.72
RICOH S.A.,RI,30-50423158-1,19/01/2016,FAC  A,0054-00040420 1257.73,0.00 0.00,264.12,0.00,37.73,0.00,1559.58
RICOH S.A.,RI,30-50423158-1,19/01/2016,FAC  A,0054-00040385 9119.68,0.00 0.00,1915.13,0.00,273.59,0.00,11308.40
RICOH S.A.,RI,30-50423158-1,19/01/2016,FAC  A,0054-00040320 18813.20,0.00 0.00,3950.77,0.00,564.40,0.00,23328.37
RICOH S.A.,RI,30-50423158-1,19/01/2016,FAC  A,0054-00040318 202.30,0.00 0.00,42.48,0.00,0.00,0.00,244.78
RICOH S.A.,RI,30-50423158-1,19/01/2016,FAC  A,0054-00040307 4559.84,0.00 0.00,957.57,0.00,136.80,0.00,5654.21
RICOH S.A.,RI,30-50423158-1,19/01/2016,FAC  A,0054-00040305 4999.12,0.00 0.00,1049.82,0.00,149.97,0.00,6198.91
RICOH S.A.,RI,30-50423158-1,19/01/2016,FAC  A,0054-00040304 5548.80,0.00 0.00,1165.25,0.00,166.46,0.00,6880.51
RICOH S.A.,RI,30-50423158-1,19/01/2016,FAC  A,0054-00040634 8008.91,0.00 0.00,1681.87,0.00,240.27,0.00,9931.05
RICOH S.A.,RI,30-50423158-1,19/01/2016,FAC  A,0054-00040565 401.71,0.00 0.00,84.36,0.00,0.00,0.00,486.07
DISTRIBUIDORA LEO,RI,30-69788550-8,19/01/2016,FAC  A,0006-00009308 4363.64,0.00 0.00,916.36,0.00,0.00,0.00,5280.00
RICOH S.A.,RI,30-50423158-1,20/01/2016,FAC  A,0054-00040845 1864.63,0.00 0.00,391.57,0.00,55.94,0.00,2312.14
RICOH S.A.,RI,30-50423158-1,20/01/2016,FAC  A,0054-00040817 2268.07,0.00 0.00,476.29,0.00,68.04,0.00,2812.40
RICOH S.A.,RI,30-50423158-1,20/01/2016,FAC  A,0054-00040822 3729.26,0.00 0.00,783.14,0.00,111.88,0.00,4624.28
RICOH S.A.,RI,30-50423158-1,20/01/2016,FAC  A,0054-00040835 3080.74,0.00 0.00,323.48,0.00,0.00,0.00,3404.22
HIBU  ARGENTINA,RI,30-65411876-7,20/01/2016,FAC  A,0379-07041938 163.37,0.00 0.00,34.31,0.00,0.00,0.00,197.68
COMPULIDER  DE,RI,27-17416452-0,20/01/2016,FAC  A,0006-00018563 392.08,0.00 0.00,41.17,0.00,0.00,0.00,433.25
RICOH S.A.,RI,30-50423158-1,21/01/2016,FAC  A,0054-00040935 1755.68,0.00 0.00,184.35,0.00,0.00,0.00,1940.03
RICOH S.A.,RI,30-50423158-1,22/01/2016,FAC  A,0054-00041009 611.71,0.00 0.00,128.46,0.00,0.00,0.00,740.17
RICOH S.A.,RI,30-50423158-1,22/01/2016,FAC  A,0054-00041022 7653.37,0.00 0.00,1607.21,0.00,229.60,0.00,9490.18
RICOH S.A.,RI,30-50423158-1,25/01/2016,FAC  A,0054-00041159 4755.69,0.00 0.00,998.69,0.00,142.67,0.00,5897.05
RICOH S.A.,RI,30-50423158-1,25/01/2016,FAC  A,0054-00041201 1333.70,0.00 0.00,280.08,0.00,40.01,0.00,1653.79
RICOH S.A.,RI,30-50423158-1,25/01/2016,FAC  A,0054-00041184 4769.12,0.00 0.00,1001.52,0.00,143.07,0.00,5913.71
RICOH S.A.,RI,30-50423158-1,25/01/2016,FAC  A,0054-00041183 1906.13,0.00 0.00,400.29,0.00,57.18,0.00,2363.60
RICOH S.A.,RI,30-50423158-1,25/01/2016,FAC  A,0054-00041178 16004.41,0.00 0.00,3360.93,0.00,480.13,0.00,19845.47
RUTA 22 S.A.,RI,30-59863915-5,25/01/2016,FAC  A,0014-00140876 327.73,43.57 0.00,68.82,0.00,0.00,0.00,440.12
RICOH S.A.,RI,30-50423158-1,26/01/2016,FAC  A,0054-00041288 2686.73,0.00 0.00,564.21,0.00,80.60,0.00,3331.54
RICOH S.A.,RI,30-50423158-1,26/01/2016,FAC  A,0054-00041286 17583.08,0.00 0.00,3692.45,0.00,527.49,0.00,21803.02
MAHUE CONFECCION,RI,27-26528002-7,26/01/2016,FAC  A,0004-00000051 2975.21,0.00 0.00,624.79,0.00,0.00,0.00,3600.00
EST. DE SERVICIO,RI,30-67265549-4,26/01/2016,FAC  A,0016-00016253 304.77,51.23 0.00,64.00,0.00,0.00,0.00,420.00
EST. DE SERVICIO,RI,30-67265549-4,26/01/2016,FAC  A,0005-00000305 42.14,0.00 0.00,8.85,0.00,0.00,0.00,50.99
CALA  DE LOS ANDES,RI,20-92499492-5,26/01/2016,FAC  A,0004-00000809 194.21,0.00 0.00,40.78,0.00,0.00,0.00,234.99
OPESA  ACA PIEDRA,RI,30-67877449-5,26/01/2016,FAC  A,2804-00059195 282.89,37.83 0.00,59.41,0.00,0.00,0.00,380.13
RICOH S.A.,RI,30-50423158-1,27/01/2016,FAC  A,0054-00041548 37530.00,0.00 0.00,7881.30,0.00,1125.90,0.00,46537.20
RICOH S.A.,RI,30-50423158-1,27/01/2016,FAC  A,0054-00041547 6143.21,0.00 0.00,1290.07,0.00,184.30,0.00,7617.58
GRUPO NUCLEO,RI,30-70933244-5,27/01/2016,FAC  A,0095-00032181 14938.63,0.00 0.00,3137.11,0.00,0.00,0.00,18075.74
RICOH S.A.,RI,30-50423158-1,28/01/2016,FAC  A,0054-00041654 3160.28,0.00 0.00,663.66,0.00,94.81,0.00,3918.75
SERVICIO TRAFUL,RI,30-71467597-0,29/01/2016,FAC  A,0001-00006583 393.11,69.34 0.00,82.55,0.00,0.00,0.00,545.00
BASES S.A.,RI,30-58829538-5,29/01/2016,FAC  A,0045-00013623 305.12,40.80 0.00,64.08,0.00,0.00,0.00,410.00
BANCO FRANCES,RI,30-50000319-3,29/01/2016,FAC  A,0001-00029116 166.85,0.00 0.00,35.04,0.00,0.00,0.00,201.89
SERRA LEONARDO,RI,20-24375194-3,30/01/2016,FAC  B,0002-00019117 396.00,0.00 0.00,0.00,0.00,0.00,0.00,396.00
